Station ID, Station Name, Latitude, Longitude, Project
PUG1501, Agate Passage  south end, 47.711021423339844,-122.5671463, Puget Sound 2015 Current Survey
PUG1502, Alki Point  1 mile West of, 47.58367919921875,-122.4517517, Puget Sound 2015 Current Survey
PUG1503, Edmonds  2.5 miles West of, 47.80712127685547,-122.4441299, Puget Sound 2015 Current Survey
PUG1504, Entrance to Ballard Locks, 47.67097854614258,-122.4069977, Puget Sound 2015 Current Survey
PUG1505, Entrance to Eagle Harbor, 47.619571685791016,-122.4953003, Puget Sound 2015 Current Survey
PUG1506, Harbor Island East, 47.58845138549805,-122.3439713, Puget Sound 2015 Current Survey
PUG1507, Harbor Island West,47.58312988,-122.3602219, Puget Sound 2015 Current Survey
PUG1508, Liberty Bay (entrance)  Port Orchard, 47.70682144165039,-122.6282501, Puget Sound 2015 Current Survey
PUG1509, Point Jefferson  East of, 47.744468688964844,-122.4680176, Puget Sound 2015 Current Survey
PUG1510, Port Washington Narrows  Warren Ave. Bridge, 47.57957077026367,-122.6306534, Puget Sound 2015 Current Survey
PUG1511, President Point  1.5 miles east of,47.76712,-122.4319, Puget Sound 2015 Current Survey
PUG1512, Restoration Point, 47.57884979248047,-122.4687195, Puget Sound 2015 Current Survey
PUG1513, Rich Passage  East end, 47.57001876831055,-122.5298004, Puget Sound 2015 Current Survey
PUG1514, Rich Passage  West end, 47.58993148803711,-122.5623322, Puget Sound 2015 Current Survey
PUG1515, West Point  West of, 47.662071228027344,-122.4416809, Puget Sound 2015 Current Survey
PUG1516, Alki Point  West of, 47.57606887817383,-122.4278336, Puget Sound 2015 Current Survey
PUG1517, Blake Island  S of, 47.52027893066406,-122.4879227, Puget Sound 2015 Current Survey
PUG1518, Anderson Point  East of  Colvos Passage,47.43943,-122.52578, Puget Sound 2015 Current Survey
PUG1519, Point Richmond  East of  Colvos Passage, 47.37662124633789,-122.5286713, Puget Sound 2015 Current Survey
PUG1520, Dolphin Point  1.3 miles East of, 47.501548767089844,-122.4235764, Puget Sound 2015 Current Survey
PUG1521, Browns Point  1.6 miles North of, 47.32870101928711,-122.4540482, Puget Sound 2015 Current Survey
PUG1522, Dalco Passage, 47.32511901855469,-122.5246811, Puget Sound 2015 Current Survey
