area,ID,numid,wdepth,bpi,rie,new_cmecs,dshore,shore_code
1.78,G1,"1",-21.8486469179721,20.1373174025722,12.278479238658,Sand,554.47167560609,EI-Sand
2.2,G2,"2",-143.319659948501,-11.3977174293521,14.0868233776458,Mud,1456.41204610117,EI-Boulder
0.9,G3,"3",-14.1649496931066,47.7564138088983,13.4029988405712,Sand,109.671763005002,EI-Sand
2.27,G4,"4",-100.029624351856,19.5956275152802,10.6845998642123,Sandy Mud,430.663326661669,EI-Mix_Fine
2,G5,"5",-122.812170495258,-4.99727995324867,19.1996763866228,Mud,1269.81761934378,EI-Mix_Coarse
2,G6,"6",-170.698527880581,-23.8053359846053,9.94634120945488,Mud,1080.0124453276,EI-Mix_Fine
2.15,G7,"7",-125.33809408603,-2.77510763985589,9.86250445440549,Mud,611.76025839865,EI-Boulder
0.71,G8,"8",-19.743785751969,89.0527578515139,7.24050812145325,Sand,105.543236603445,EI-Mix_Fine
2.49,G9,"9",-135.27482384544,2.15160015622822,11.7696816410274,Mud,799.146831276574,EI-Sand
1.87,G10,"10",-65.7863602968792,15.0387934680224,24.880813767521,Muddy Sand,425.892192904139,EI-Mix_Fine
1.25,G11,"11",-57.6128725588407,48.8718580700855,10.3400843419701,Muddy Sand,301.539240989786,EI-Mix_Fine
1.99,G12,"12",-142.524109146469,-1.56673618615183,7.10666947163167,Mud,473.246920804226,EI-Sand
1.56,G13,"13",0,23.3427311904117,24.1892013776313,Unconsolidated Mineral Substrate,478.382081362937,EI-Sand
2,G14,"14",-140.334683067046,-17.0697540212121,16.2414988973938,Mud,1067.03127725795,EI-Sand
0.53,G15,"15",0,37.34581128362,1.29632101209319,Gravel,38.7293060210311,EI-Sand
1.01,G16,"16",-90.2885767598132,33.7778125950557,4.36852707859231,Muddy Sand,389.37712644715,EI-Sand
1.88,G17,"17",-98.0223602188347,14.8675476417703,9.53727821364607,Muddy Sand,241.596742034482,EI-Sand
1.4,G18,"18",-24.7047903275775,27.0065330021639,6.59680690548708,Sand,331.507782112512,EI-Sand
0.54,G19,"19",0,2.08807298436176,4.31581944813778,Unconsolidated Mineral Substrate,88.1039524930797,EI-Boulder
2,G20,"20",-139.225650495044,-9.89568996115579,7.39385157069413,Mud,815.974720585201,EI-Sand
2,G21,"21",-94.115556621775,-0.54074477440291,10.9045783535065,Sandy Mud,855.764201102607,EI-Sand
1.85,G22,"22",-18.7866291959366,21.764474448239,24.0051689436681,Sand,458.08443060839,EI-Boulder
1.17,G23,"23",-2.40120912916281,22.7049036053873,11.6443964573323,Unconsolidated Mineral Substrate,292.674965092348,EI-Mix_Fine
2,G24,"24",-142.706704465061,-8.6212420569251,9.75072766668413,Mud,1577.39064947765,OCN
2,G25,"25",-126.602030726499,-16.4756463173927,9.2626343432742,Sandy Mud,1442.08742512808,OCN
2,G26,"26",-31.8569905254994,14.1460265584947,22.7897249069205,Sand,790.503022402886,EI-Boulder
1.61,G27,"27",-30.5802404891632,18.3983218338201,18.7602879562948,Sand,409.470898391679,EI-Mix_Fine
2.75,G28,"28",-34.8520099224462,25.868402292889,16.7503503136884,Sand,302.820021277228,EI-Mix_Fine
