trip_date,date,total_length,numid,wdepth,bpi,rie,new_cmecs,shore_code
S2_08A_DEC 2017-12-13,12/13/17,5.466249576,1,-16.87156099,15.91823806,3.706495303,Muddy Sand,MI
S2_08A_DEC 2018-12-05,12/5/18,5.470679747,2,-25.77077385,9.048705295,4.018291181,Muddy Sand,MI
S2_08A_DEC 2022-12-13,12/13/22,5.465932229,3,-10.6063977,20.07014689,3.096399532,Sand,MI
S2_08A_FEB 2020-02-07,2/7/20,5.468354143,4,-16.85294067,15.82188214,3.496988325,Muddy Sand,MI
S2_08A_JAN 2014-01-15,1/15/14,5.314090825,5,-17.46447453,15.82195651,3.570244475,Muddy Sand,MI
S2_08A_JAN 2015-01-08,1/8/15,5.336217757,6,-25.32562093,9.558267531,3.915835666,Muddy Sand,MI
S2_08A_JAN 2016-01-25,1/25/16,5.354874849,7,-25.90318901,9.128194328,3.921600543,Muddy Sand,MI
S2_08A_JAN 2017-01-12,1/12/17,5.479932404,8,-17.39349454,15.46464553,3.622935106,Muddy Sand,MI
S2_08A_JAN 2018-01-02,1/2/18,5.450549217,9,-16.82095765,15.84087069,3.432974976,Muddy Sand,MI
S2_08A_JAN 2019-01-11,1/11/19,5.483637424,10,-25.79411868,9.071186752,4.060628297,Muddy Sand,MI
S2_08A_JAN 2021-01-20,1/20/21,5.220464512,11,-16.94236654,15.74671948,3.575655419,Muddy Sand,MI
S2_08A_MAR 2015-03-03,3/3/15,5.384599204,12,-26.14214059,8.838584265,3.956023027,Muddy Sand,MI
S2_08A_MAR 2016-03-22,3/22/16,5.414897653,13,-17.10808611,15.79385497,3.521937643,Muddy Sand,MI
S2_08A_MAR 2017-03-09,3/9/17,5.443565925,14,-10.02867234,20.48936728,3.053665949,Sand,MI
S2_08A_MAR 2018-03-15,3/15/18,5.356909521,15,-31.91089022,4.579863228,4.168929486,Muddy Sand,MI
S2_08A_MAR 2019-03-05,3/5/19,5.283927566,16,-17.8830306,15.35999655,3.527988302,Muddy Sand,MI
S2_08A_MAR 2021-03-12,3/12/21,5.515383989,17,-9.993870319,20.52742156,3.132565917,Sand,MI
S2_08A_MAR 2023-03-22,3/22/23,5.367271343,18,-17.25475058,15.62925239,3.540748752,Muddy Sand,MI
S2_08A_MAR 2024-03-19,3/19/24,5.395816011,19,-26.59455703,8.644790049,4.006349272,Muddy Sand,MI
S2_08A_NOV 2013-11-18,11/18/13,5.333390462,20,-25.87064969,9.141337359,4.074375691,Muddy Sand,MI
S2_08A_NOV 2014-11-19,11/19/14,5.400709779,21,-32.30989631,4.254627696,4.246316743,Muddy Sand,MI
S2_08A_NOV 2015-11-20,11/20/15,5.390138775,22,-31.77784354,4.732274256,4.250418598,Muddy Sand,MI
S2_08A_NOV 2016-11-09,11/9/16,5.402943437,23,-32.68051242,4.158866435,4.396999746,Muddy Sand,MI
S2_08A_NOV 2019-11-12,11/12/19,5.338140498,24,-18.10639313,15.25697205,3.517053502,Muddy Sand,MI
S2_08A_NOV 2020-11-23,11/23/20,5.39786419,25,-33.97321435,2.851745662,4.288433454,Muddy Sand,MI
S2_08A_NOV 2023-11-28,11/28/23,5.373832424,26,-33.41212171,3.345511705,4.225959474,Muddy Sand,MI
S2_08A_OCT 2013-10-10,10/10/13,5.355303533,27,-32.10560805,4.74105088,4.358489282,Muddy Sand,MI
S2_08A_OCT 2016-10-12,10/12/16,5.490656502,28,-10.28637463,20.20833202,3.124204091,Sand,MI
S2_08A_OCT 2020-10-14,10/14/20,5.472080474,29,-11.83243831,19.25285562,3.178720927,Sand,MI
S2_08A_OCT 2022-10-12,10/12/22,5.465538627,30,-17.84615848,15.0540853,3.591735912,Muddy Sand,MI
S2_08A_OCT 2023-10-03,10/3/23,5.409644014,31,-10.04704377,20.60283284,3.036556564,Sand,MI
S2_08A_SEP 2014-09-17,9/17/14,5.306681016,32,-16.32342106,16.42750132,3.6340414,Muddy Sand,MI
S2_08A_SEP 2015-09-21,9/21/15,5.392792896,33,-10.73159917,20.05583101,3.061020202,Sand,MI
S2_08A_SEP 2017-09-20,9/20/17,5.446282486,34,-16.98147696,15.75966443,3.601638251,Muddy Sand,MI
S2_08A_SEP 2018-09-14,9/14/18,5.394214998,35,-17.68184524,15.21576187,3.52717976,Muddy Sand,MI
S2_08A_SEP 2019-09-10,9/10/19,5.318356313,36,-10.33028162,20.47629516,3.075294431,Sand,MI
S2_08B_DEC 2017-12-13,12/13/17,4.435627322,37,-13.11994572,10.47892145,1.762819707,Muddy Sand,MI
S2_08B_DEC 2018-12-05,12/5/18,4.183130575,38,-18.68591849,6.172515137,1.887274039,Muddy Sand,OCN
S2_08B_DEC 2022-12-13,12/13/22,4.372044457,39,-26.09294468,0.409454902,2.060824766,Muddy Sand,OCN
S2_08B_FEB 2020-02-07,2/7/20,4.412664835,40,-25.7335177,0.607730745,2.044733006,Muddy Sand,OCN
S2_08B_JAN 2014-01-15,1/15/14,4.394595105,41,-13.61245106,10.11696461,1.771247064,Muddy Sand,OCN
S2_08B_JAN 2015-01-08,1/8/15,4.35425246,42,-13.05306242,10.53359622,1.75468543,Muddy Sand,MI
S2_08B_JAN 2016-01-25,1/25/16,4.386813072,43,-25.63909877,0.714406118,2.058077859,Muddy Sand,OCN
S2_08B_JAN 2017-01-12,1/12/17,4.419921383,44,-19.43612413,5.553549572,1.916109991,Muddy Sand,OCN
S2_08B_JAN 2018-01-02,1/2/18,4.427329333,45,-7.731501882,14.19094142,1.563772086,Muddy Sand,MI
S2_08B_JAN 2019-01-11,1/11/19,4.39671693,46,-7.745505367,14.26747507,1.57669705,Muddy Sand,MI
S2_08B_JAN 2021-01-20,1/20/21,4.316971525,47,-13.1420154,10.37537875,1.737489277,Muddy Sand,MI
S2_08B_MAR 2015-03-03,3/3/15,4.392925388,48,-13.33747656,10.30080534,1.762442681,Muddy Sand,OCN
S2_08B_MAR 2016-03-22,3/22/16,4.382339505,49,-25.25628537,0.997119364,2.047368681,Muddy Sand,OCN
S2_08B_MAR 2017-03-09,3/9/17,4.385545493,50,-18.94039824,5.899931872,1.899165118,Muddy Sand,OCN
S2_08B_MAR 2018-03-15,3/15/18,4.365931196,51,-12.63410946,10.81577153,1.737164604,Muddy Sand,MI
S2_08B_MAR 2019-03-05,3/5/19,4.411517348,52,-12.67596109,10.80768368,1.748735623,Muddy Sand,OCN
S2_08B_MAR 2021-03-12,3/12/21,4.170901685,53,-25.38279367,0.873869813,2.043333299,Muddy Sand,OCN
S2_08B_MAR 2023-03-22,3/22/23,4.422512142,54,-19.31389746,5.666303479,1.913728493,Muddy Sand,OCN
S2_08B_MAR 2024-03-19,3/19/24,4.377822727,55,-18.71261111,6.051879376,1.89686227,Muddy Sand,OCN
S2_08B_NOV 2013-11-18,11/18/13,4.366810883,56,-25.68594527,0.68427916,2.06342347,Muddy Sand,OCN
S2_08B_NOV 2014-11-19,11/19/14,4.429526756,57,-18.65498454,6.184301174,1.901530692,Muddy Sand,OCN
S2_08B_NOV 2015-11-20,11/20/15,4.437058257,58,-18.79860119,6.053789089,1.900593692,Muddy Sand,OCN
S2_08B_NOV 2016-11-09,11/9/16,4.481042471,59,-13.31946471,10.28257654,1.767775345,Muddy Sand,MI
S2_08B_NOV 2019-11-12,11/12/19,4.297651051,60,-13.50467996,10.12015668,1.75218854,Muddy Sand,MI
S2_08B_NOV 2020-11-23,11/23/20,4.41035619,61,-8.788238849,13.54127449,1.601254,Muddy Sand,MI
S2_08B_NOV 2023-11-28,11/28/23,4.35767437,62,-19.98326115,5.129085871,1.923430228,Muddy Sand,OCN
S2_08B_OCT 2013-10-10,10/10/13,4.38504257,63,-7.573592704,14.49131264,1.57473417,Muddy Sand,MI
S2_08B_OCT 2016-10-12,10/12/16,4.390563689,64,-12.8252559,10.73689447,1.753247608,Muddy Sand,MI
S2_08B_OCT 2020-10-14,10/14/20,0.604411921,65,-21.97276637,4.938230162,2.848594107,Muddy Sand,OCN
S2_08B_OCT 2022-10-12,10/12/22,4.395662653,66,-26.12909435,0.35983722,2.072225975,Muddy Sand,OCN
S2_08B_OCT 2023-10-03,10/3/23,4.39311706,67,-25.12224089,1.035355691,2.036960938,Muddy Sand,OCN
S2_08B_SEP 2014-09-17,9/17/14,4.380906687,68,-12.48904051,10.97158538,1.745947906,Muddy Sand,OCN
S2_08B_SEP 2015-09-21,9/21/15,4.50214527,69,-25.54979389,0.74689048,2.048237312,Muddy Sand,OCN
S2_08B_SEP 2017-09-20,9/20/17,4.372986146,70,-8.757362712,13.58329133,1.601186529,Muddy Sand,MI
S2_08B_SEP 2018-09-14,9/14/18,4.476326611,71,-7.985977788,14.18130881,1.586378855,Muddy Sand,MI
S2_08B_SEP 2019-09-10,9/10/19,4.60331842,72,-18.6601259,6.170284779,1.907632397,Muddy Sand,MI
S2_08C_DEC 2017-12-13,12/13/17,4.927271767,73,-14.50368211,2.006393556,1.747573457,Sand,OCN
S2_08C_DEC 2018-12-05,12/5/18,4.807783646,74,-12.09989367,3.629828876,1.657380678,Sand,MI
S2_08C_DEC 2022-12-13,12/13/22,4.908482889,75,-14.99192289,1.590921566,1.795938355,Sand,OCN
S2_08C_FEB 2020-02-07,2/7/20,4.849154353,76,-14.72192682,1.737573416,1.776314599,Sand,OCN
