trip_date,date,weighted_current
S2_08A_DEC 2017-12-13,2017/12/13,0.78795718866393
S2_08A_DEC 2018-12-05,2018/12/05,0.785898325462354
S2_08A_DEC 2022-12-13,2022/12/13,0.783947969627264
S2_08A_FEB 2020-02-07,2020/02/07,0.783795658362986
S2_08A_JAN 2014-01-15,2014/01/15,0.786521459477369
S2_08A_JAN 2015-01-08,2015/01/08,0.786936119431481
S2_08A_JAN 2016-01-25,2016/01/25,0.785926155074764
S2_08A_JAN 2017-01-12,2017/01/12,0.785751958069114
S2_08A_JAN 2018-01-02,2018/01/02,0.783183890697193
S2_08A_JAN 2019-01-11,2019/01/11,0.786976808010002
S2_08A_JAN 2021-01-20,2021/01/20,0.78406325166868
S2_08A_MAR 2015-03-03,2015/03/03,0.786134294345219
S2_08A_MAR 2016-03-22,2016/03/22,0.784892601146625
S2_08A_MAR 2017-03-09,2017/03/09,0.783435617344317
S2_08A_MAR 2018-03-15,2018/03/15,0.786169769874722
S2_08A_MAR 2019-03-05,2019/03/05,0.786489878103243
S2_08A_MAR 2021-03-12,2021/03/12,0.784206524349079
S2_08A_MAR 2023-03-22,2023/03/22,0.786172859323748
S2_08A_MAR 2024-03-19,2024/03/19,0.786598491739704
S2_08A_NOV 2013-11-18,2013/11/18,0.789250423148133
S2_08A_NOV 2014-11-19,2014/11/19,0.787285474148648
S2_08A_NOV 2015-11-20,2015/11/20,0.787537137099552
S2_08A_NOV 2016-11-09,2016/11/09,0.78918014604407
S2_08A_NOV 2019-11-12,2019/11/12,0.784798412768194
S2_08A_NOV 2020-11-23,2020/11/23,0.786899753898754
S2_08A_NOV 2023-11-28,2023/11/28,0.785926579191219
S2_08A_OCT 2013-10-10,2013/10/10,0.789426387174282
S2_08A_OCT 2016-10-12,2016/10/12,0.784570622402596
S2_08A_OCT 2020-10-14,2020/10/14,0.784630227953627
S2_08A_OCT 2022-10-12,2022/10/12,0.78542190125862
S2_08A_OCT 2023-10-03,2023/10/03,0.783050730889566
S2_08A_SEP 2014-09-17,2014/09/17,0.79011286149367
S2_08A_SEP 2015-09-21,2015/09/21,0.783830353856193
S2_08A_SEP 2017-09-20,2017/09/20,0.786321532169496
S2_08A_SEP 2018-09-14,2018/09/14,0.784729092743524
S2_08A_SEP 2019-09-10,2019/09/10,0.785935110966875
S2_08B_DEC 2017-12-13,2017/12/13,0.598179899173907
S2_08B_DEC 2018-12-05,2018/12/05,0.597769553928259
S2_08B_DEC 2022-12-13,2022/12/13,0.598137395523313
S2_08B_FEB 2020-02-07,2020/02/07,0.596357708193131
S2_08B_JAN 2014-01-15,2014/01/15,0.597938148067267
S2_08B_JAN 2015-01-08,2015/01/08,0.597680562558028
S2_08B_JAN 2016-01-25,2016/01/25,0.598630388164979
S2_08B_JAN 2017-01-12,2017/01/12,0.598518321469944
S2_08B_JAN 2018-01-02,2018/01/02,0.595048039373621
S2_08B_JAN 2019-01-11,2019/01/11,0.596073077288968
S2_08B_JAN 2021-01-20,2021/01/20,0.595261563095371
